area_code,area,item_code,item,element_code,element,unit,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
173,Poland,826,"Tobacco, unmanufactured",5312,Area harvested,ha,42000,46000,48315,52255,50398,59489,54891,43750,42977,51680,48588,48445,52337,49821,52505,50384,48424,41773,29430,27527,27710,22572,18462,25053,18554,18568,16766,19288,20868,14057,12591,10296,10299,17255,14875,16871,17570,17395,17100,15721,15895,15000,14686,14612,13405,11958,12885,16390
173,Poland,826,"Tobacco, unmanufactured",5419,Yield,hg/ha,16667,16302,16157,12439,20300,20992,15932,13474,17254,10886,19660,19798,19063,19721,21234,24852,23531,21643,19049,21434,20724,19914,19549,17194,21424,20595,19306,19532,20934,21018,18979,20132,21338,16844,22510,17487,22471,23658,22978,22125,21660,23559,20959,23880,20329,26092,25218,20250
173,Poland,826,"Tobacco, unmanufactured",5510,Production,tonnes,70000,74989,78064,65000,102306,124880,87455,58949,74153,56259,95525,95912,99772,98253,111490,125213,113948,90409,56060,59000,57425,44949,36091,43076,39750,38241,32369,37673,43686,29545,23896,20728,21976,29065,33483,29503,39482,41153,39293,34782,34428,35338,30781,34893,27251,31201,32493,33190
173,Poland,388,Tomatoes,5312,Area harvested,ha,26324,25426,27486,28901,30379,32291,26513,30568,30796,30697,31342,30187,29802,28388,27121,27710,28065,28434,28916,28969,29848,28380,28622,29629,28525,23816,23221,23741,21583,21001,19464,11333,13821,14515,15571,15973,15909,14640,15278,10943,13441,13108,11824,12517,12694,11239,11442,13110
173,Poland,388,Tomatoes,5419,Yield,hg/ha,130641,154802,138943,76676,137565,117526,71347,52211,152832,58729,141663,146582,172261,89442,98733,167142,125790,185304,156111,142955,150876,142221,126601,126660,140693,96780,94323,149943,154332,148322,140617,542168,438717,401124,385758,407918,433540,479881,464212,509973,529942,578987,701558,647581,622061,771403,784838,708490
173,Poland,388,Tomatoes,5510,Production,tonnes,343900,393600,381900,221600,417909,379503,189162,159600,470662,180281,444000,442488,513373,253907,267774,463151,353029,526893,451410,414127,450334,403623,362358,375280,401326,230492,219027,355979,333095,311492,273697,614439,606351,582232,600664,651567,689719,702546,709223,558064,712295,758936,829522,810577,789644,866980,898012,928830
173,Poland,97,Triticale,5312,Area harvested,ha,,,,,,,,,,,,,,,20000,75000,310825,549352,648636,748564,731077,659263,656796,586242,616443,696535,630122,635463,660116,695308,839000,943895,985600,1058193,1194537,1194282,1260241,1333460,1465000,1324754,1269258,991797,1176700,1306025,1516168,1373529,1352013,1287970
173,Poland,97,Triticale,5419,Yield,hg/ha,,,,,,,,,,,,,,,27500,31333,32720,31512,37059,36346,33499,25946,28844,27823,33225,30584,29211,32392,31766,27340,32156,32289,28527,35185,32674,26769,32907,33444,35727,34541,33369,33769,36314,40173,35217,37148,39290,31132
173,Poland,97,Triticale,5510,Production,tonnes,,,,,,,,,,,,,,,55000,235000,1017010,1731133,2403794,2720713,2449064,1710529,1894446,1631083,2048148,2130301,1840675,2058374,2096914,1900959,2697862,3047740,2811596,3723271,3903000,3196957,4147061,4459610,5234000,4575809,4235328,3349225,4273027,5246647,5339437,5102445,5312061,4009660
173,Poland,463,"Vegetables, fresh nes",5312,Area harvested,ha,58100,55500,59900,60100,60000,58500,70800,94300,93100,96000,94300,91500,85000,71052,68745,70365,74387,74726,74156,42900,46300,47100,46400,35000,49700,43900,44100,42500,43600,42900,48500,39600,35600,37800,41100,50046,40259,36314,37504,33573,33329,33126,27683,32688,36126,35564,35633,36445
